term,estimate,std.error,statistic,p.value,model,robust.se,outcome
dm_age,0.10449627479356197,0.012089537444980963,8.643529603106872,5.450259204343561e-18,m1,NA,mortality_heart
cluster_MOD,0.31725331524947803,0.3562606326351354,0.8905090436259154,0.373192614573315,m2,NA,mortality_heart
cluster_SIDD,0.858075342420033,0.31743032201150556,2.703192741583557,0.006867691004625974,m2,NA,mortality_heart
cluster_SIRD,-0.12625200365764935,0.40576262449756456,-0.31114744443005526,0.7556885344943995,m2,NA,mortality_heart
gender,-0.7288721956929883,0.21385101663287215,-3.4083176557644177,6.536475468963632e-4,m2,NA,mortality_heart
dm_age,0.1055998653255032,0.012360431055121423,8.543380473915505,1.3035133372154913e-17,m2,NA,mortality_heart
smoke_current,-0.3971082096899832,0.3392604763717172,-1.1705112659656944,0.24179528310332613,m2,NA,mortality_heart
cluster_MOD,-0.8775281600980293,0.27611517525239343,-2.3843995031651155,0.01710701976163218,s0,0.3680289980488483,mortality_heart
cluster_SIDD,-0.5643918082838348,0.373718646172359,-1.4947903674126097,0.13496916104712514,s0,0.37757254835724047,mortality_heart
cluster_SIRD,-0.7225512493595063,0.397911310218811,-1.4659669721089443,0.14265728490316062,s0,0.49288371641827783,mortality_heart
cluster_MOD,0.5729728952818517,0.3269305962470319,1.3917518455862667,0.1639975565550578,s2,0.41169185232191335,mortality_heart
cluster_SIDD,0.4122929282152548,0.39200073968566285,1.0257165566513229,0.30502520785625276,s2,0.4019560038703827,mortality_heart
cluster_SIRD,-0.08404333842506018,0.40580311373665734,-0.16992192701656073,0.8650715366205571,s2,0.49459972530130997,mortality_heart
gender,-0.6009254652611764,0.22356957163249785,-2.46201714444718,0.01381580624287301,s2,0.2440785055524493,mortality_heart
dm_age,0.11198370436492323,0.013410031683381998,7.660694536100036,1.8493023477286477e-14,s2,0.014617957136551321,mortality_heart
smoke_current,-0.5297480923664835,0.3644215600450472,-1.1428650092155215,0.25309464238477075,s2,0.46352639033905674,mortality_heart
cluster_MOD,-0.8106859189718115,0.2878834754405657,-2.8160210228501974,0.004862248488181466,m0,NA,mortality_malignant_neoplasms
cluster_SIDD,-0.7087353468337027,0.39886573898958944,-1.7768769727605032,0.07558848384710007,m0,NA,mortality_malignant_neoplasms
cluster_SIRD,-0.2680152772478307,0.32724399410999466,-0.8190074747643626,0.41278214894762044,m0,NA,mortality_malignant_neoplasms
cluster_MOD,-0.3442258197016926,0.32634633874568586,-1.054786828694713,0.29152282984534017,m1,NA,mortality_malignant_neoplasms
cluster_SIDD,-0.3682659594303816,0.41423443318526737,-0.8890278787270052,0.3739880970520667,m1,NA,mortality_malignant_neoplasms
cluster_SIRD,-0.026165073356320942,0.33619899871746334,-0.07782614896574895,0.937966345663053,m1,NA,mortality_malignant_neoplasms
dm_age,0.03497645697031768,0.01153854578530275,3.031270804928384,0.0024352672589793155,m1,NA,mortality_malignant_neoplasms
cluster_MOD,-0.26894807820181854,0.3280463036881625,-0.8198479153036818,0.4123028119136708,m2,NA,mortality_malignant_neoplasms
cluster_SIDD,-0.3610377220170128,0.41395548277213584,-0.8721655758712298,0.3831180561908142,m2,NA,mortality_malignant_neoplasms
cluster_SIRD,-0.02933288660307655,0.3362647784265481,-0.0872315166052512,0.9304874882036226,m2,NA,mortality_malignant_neoplasms
gender,-0.27891517722717035,0.21176062777395754,-1.3171248128566018,0.18779679106419886,m2,NA,mortality_malignant_neoplasms
dm_age,0.03897004547832946,0.011881226381515675,3.279968264804504,0.0010381876406314336,m2,NA,mortality_malignant_neoplasms
smoke_current,0.30659937899993384,0.2538360811317719,1.2078636639555247,0.22709970822508768,m2,NA,mortality_malignant_neoplasms
cluster_MOD,-0.7996422411882204,0.2951801875280516,-2.0981007762803094,0.035896244013025255,s0,0.38112670765314416,mortality_malignant_neoplasms
cluster_SIDD,-0.19645839126320394,0.3527845751942995,-0.42771856913970446,0.6688560289149998,s0,0.4593169561432703,mortality_malignant_neoplasms
cluster_SIRD,-0.11849439719398128,0.33587814737793953,-0.28671016368612573,0.7743342546808295,s0,0.41328983831805255,mortality_malignant_neoplasms
cluster_MOD,-0.06145874634653085,0.33954997042870433,-0.1381198273381647,0.8901457160100184,s2,0.44496686341823155,mortality_malignant_neoplasms
cluster_SIDD,0.25623051069077407,0.37048981274768505,0.5726325384885279,0.5668935234940514,s2,0.4474606199764657,mortality_malignant_neoplasms
cluster_SIRD,0.15219011225411572,0.34337093009871,0.36477702009123486,0.7152778601645597,s2,0.4172140893525893,mortality_malignant_neoplasms
gender,-0.3307780702312377,0.2287431496870556,-1.1695337940670614,0.24218863390738937,s2,0.28282899725449984,mortality_malignant_neoplasms
dm_age,0.05495068540492644,0.012762695451059297,4.926305851282277,8.379879468879718e-7,s2,0.011154541976037324,mortality_malignant_neoplasms
smoke_current,0.5062819033105973,0.2532200537538916,1.5856585650350277,0.1128167832662556,s2,0.3192880954793779,mortality_malignant_neoplasms
cluster_MOD,-1.4247291463607037,0.22202334211039426,-6.417024141778305,1.3896389327318818e-10,m0,NA,mortality_any_other
cluster_SIDD,-1.2102286395235733,0.2985970310146018,-4.053049809006278,5.055423361495139e-5,m0,NA,mortality_any_other
cluster_SIRD,-0.8130764733863625,0.24771335283225596,-3.282327997622936,0.0010295377380139489,m0,NA,mortality_any_other
cluster_MOD,-0.18708150518109892,0.2472500458930316,-0.7566490210563458,0.4492601641658261,m1,NA,mortality_any_other
cluster_SIDD,-0.3115710344736332,0.30882072052710985,-1.0089058594961795,0.313019784806868,m1,NA,mortality_any_other
cluster_SIRD,-0.203205604135979,0.25279798871073267,-0.803826031893393,0.421497453388273,m1,NA,mortality_any_other
dm_age,0.09246000627832075,0.007900800289290863,11.702612759829613,1.235886529641558e-31,m1,NA,mortality_any_other
cluster_MOD,-0.10971065654771675,0.2483056486705483,-0.4418371355429,0.6586070639776932,m2,NA,mortality_any_other
cluster_SIDD,-0.3201103989475917,0.30856075844285036,-1.0374306848447823,0.2995351840171662,m2,NA,mortality_any_other
cluster_SIRD,-0.19904413043496422,0.25320765210078133,-0.7860905023349807,0.4318144681172633,m2,NA,mortality_any_other
gender,-0.4307721070323872,0.13768875188583116,-3.1285933028834125,0.001756452358835314,m2,NA,mortality_any_other
dm_age,0.09662706367126107,0.00815801509780137,11.844433052998712,2.299682766263574e-32,m2,NA,mortality_any_other
smoke_current,0.17296455670099428,0.18716118214428368,0.924147596843318,0.3554094749036652,m2,NA,mortality_any_other
cluster_MOD,-1.0830889127132373,0.19223218492010502,-4.153678129085009,3.27173303872112e-5,s0,0.2607541747467624,mortality_any_other
cluster_SIDD,-1.5621478702728078,0.3795180012766607,-4.399216270409991,1.0864251604592995e-5,s0,0.3550968568606474,mortality_any_other
cluster_SIRD,-0.6840182540148007,0.2502414481097076,-2.3172151678503257,0.020492013682737197,s0,0.2951897879424648,mortality_any_other
cluster_MOD,0.22084240567343366,0.22590874470357555,0.6423977398469073,0.5206149668330782,s2,0.3437783042730873,mortality_any_other
cluster_SIDD,-0.6852434316753204,0.3874565849934364,-1.9146375654186645,0.055538740926230734,s2,0.35789720417685505,mortality_any_other
cluster_SIRD,-0.12153847378760375,0.25511977744067404,-0.3817549008316401,0.702643173573268,s2,0.3183678153779724,mortality_any_other
gender,-0.17521177324393536,0.14509663657577823,-0.9692301638840906,0.33243036429379014,s2,0.1807741646646573,mortality_any_other
dm_age,0.09843785115853164,0.008730705758582756,9.836427024785689,7.844745487163707e-23,s2,0.010007480451030577,mortality_any_other
smoke_current,0.14584282003708113,0.19349269605775013,0.6813965482417127,0.49562060640118816,s2,0.21403516118978946,mortality_any_other
